age,math,programming,creativity,communication,logic,preferred_subject,career
18,3,3,3,3,3,Business,Database Administrator
24,3,3,3,3,3,Business,Database Administrator
19,3,3,3,3,3,Business,Database Administrator
21,2,2,2,2,2,ComputerScience,Database Administrator
18,2,2,2,2,2,ComputerScience,Database Administrator
21,2,2,2,2,2,ComputerScience,Database Administrator
23,2,2,2,2,2,ComputerScience,Database Administrator
19,2,2,2,2,2,ComputerScience,Database Administrator
19,2,2,2,2,2,ComputerScience,Database Administrator
18,4,4,4,4,4,Physics,Database Administrator
19,4,4,4,4,4,Physics,Database Administrator
22,4,4,4,4,4,Physics,Database Administrator
19,4,4,4,4,4,Physics,Database Administrator
21,4,4,4,4,4,Physics,Database Administrator
21,4,4,4,4,4,Physics,Database Administrator
24,5,5,5,5,5,Arts,Database Administrator
21,5,5,5,5,5,Arts,Database Administrator
24,5,5,5,5,5,Arts,Database Administrator
21,5,5,5,5,5,Arts,Database Administrator
22,5,5,5,5,5,Arts,Database Administrator
25,5,5,5,5,5,Arts,Database Administrator
24,1,1,1,1,1,Math,Database Administrator
20,1,1,1,1,1,Math,Database Administrator
23,1,1,1,1,1,Math,Database Administrator
18,1,1,1,1,1,Math,Database Administrator
21,1,1,1,1,1,Math,Database Administrator
19,1,1,1,1,1,Math,Database Administrator
25,0,0,0,0,0,Design,Database Administrator
21,0,0,0,0,0,Design,Database Administrator
19,0,0,0,0,0,Design,Database Administrator
23,0,0,0,0,0,Design,Database Administrator
23,0,0,0,0,0,Design,Database Administrator
23,0,0,0,0,0,Design,Database Administrator
19,3,3,3,3,3,Business,Database Administrator
21,3,3,3,3,3,Business,Database Administrator
23,3,3,3,3,3,Business,Database Administrator
22,3,3,3,3,3,Business,Database Administrator
24,3,3,3,3,3,Business,Database Administrator
19,3,3,3,3,3,Business,Database Administrator
19,2,2,2,2,2,ComputerScience,Database Administrator
21,2,2,2,2,2,ComputerScience,Database Administrator
19,2,2,2,2,2,ComputerScience,Database Administrator
19,2,2,2,2,2,ComputerScience,Database Administrator
23,2,2,2,2,2,ComputerScience,Database Administrator
21,2,2,2,2,2,ComputerScience,Database Administrator
23,4,4,4,4,4,Physics,Database Administrator
24,4,4,4,4,4,Physics,Database Administrator
25,4,4,4,4,4,Physics,Database Administrator
24,4,4,4,4,4,Physics,Database Administrator
25,4,4,4,4,4,Physics,Database Administrator
23,4,4,4,4,4,Physics,Database Administrator
24,5,5,5,5,5,Arts,Database Administrator
21,5,5,5,5,5,Arts,Database Administrator
18,5,5,5,5,5,Arts,Database Administrator
23,5,5,5,5,5,Arts,Database Administrator
25,5,5,5,5,5,Arts,Database Administrator
22,5,5,5,5,5,Arts,Database Administrator
25,1,1,1,1,1,Math,Database Administrator
22,1,1,1,1,1,Math,Database Administrator
19,1,1,1,1,1,Math,Database Administrator
24,1,1,1,1,1,Math,Database Administrator
22,1,1,1,1,1,Math,Database Administrator
25,1,1,1,1,1,Math,Database Administrator
19,0,0,0,0,0,Design,Database Administrator
18,0,0,0,0,0,Design,Database Administrator
21,0,0,0,0,0,Design,Database Administrator
21,0,0,0,0,0,Design,Database Administrator
21,0,0,0,0,0,Design,Database Administrator
22,0,0,0,0,0,Design,Database Administrator
18,3,3,3,3,3,Business,Database Administrator
22,3,3,3,3,3,Business,Database Administrator
24,3,3,3,3,3,Business,Database Administrator
22,3,3,3,3,3,Business,Database Administrator
18,3,3,3,3,3,Business,Database Administrator
18,3,3,3,3,3,Business,Database Administrator
24,2,2,2,2,2,ComputerScience,Database Administrator
18,2,2,2,2,2,ComputerScience,Database Administrator
25,2,2,2,2,2,ComputerScience,Database Administrator
18,2,2,2,2,2,ComputerScience,Database Administrator
21,2,2,2,2,2,ComputerScience,Database Administrator
25,2,2,2,2,2,ComputerScience,Database Administrator
25,4,4,4,4,4,Physics,Database Administrator
24,4,4,4,4,4,Arts,Database Administrator
20,4,4,4,4,4,Math,Database Administrator
20,4,4,4,4,4,Design,Database Administrator
18,4,4,4,4,4,Business,Database Administrator
25,4,4,4,4,4,ComputerScience,Database Administrator
20,5,5,5,5,5,Physics,Database Administrator
20,5,5,5,5,5,Arts,Database Administrator
18,5,5,5,5,5,Math,Database Administrator
20,5,5,5,5,5,Design,Database Administrator
22,5,5,5,5,5,Business,Database Administrator
19,5,5,5,5,5,ComputerScience,Database Administrator
24,1,1,1,1,1,Physics,Database Administrator
19,1,1,1,1,1,Arts,Database Administrator
18,1,1,1,1,1,Math,Database Administrator
21,1,1,1,1,1,Design,Database Administrator
24,1,1,1,1,1,Business,Database Administrator
18,1,1,1,1,1,ComputerScience,Database Administrator
25,0,0,0,0,0,Physics,Database Administrator
21,0,0,0,0,0,Arts,Database Administrator
19,0,0,0,0,0,Math,Database Administrator
18,0,0,0,0,0,Design,Database Administrator
25,0,0,0,0,0,Business,Database Administrator
24,0,0,0,0,0,ComputerScience,Database Administrator
24,3,3,3,3,3,Physics,Database Administrator
23,3,3,3,3,3,Arts,Database Administrator
25,3,3,3,3,3,Math,Database Administrator
22,3,3,3,3,3,Design,Database Administrator
20,3,3,3,3,3,Business,Database Administrator
21,3,3,3,3,3,ComputerScience,Database Administrator
25,2,2,2,2,2,Physics,Database Administrator
23,2,2,2,2,2,Arts,Database Administrator
20,2,2,2,2,2,Math,Database Administrator
20,2,2,2,2,2,Design,Database Administrator
18,2,2,2,2,2,Business,Database Administrator
20,2,2,2,2,2,ComputerScience,Database Administrator
22,4,4,4,4,4,Physics,Database Administrator
24,4,5,4,4,4,Physics,Database Administrator
23,4,1,4,4,4,Physics,Database Administrator
20,4,0,4,4,4,Physics,Database Administrator
18,4,3,4,4,4,Physics,Database Administrator
22,4,2,4,4,4,Physics,Database Administrator
19,5,4,5,5,5,Arts,Database Administrator
24,5,5,5,5,5,Arts,Database Administrator
24,5,1,5,5,5,Arts,Database Administrator
23,5,0,5,5,5,Arts,Database Administrator
24,5,3,5,5,5,Arts,Database Administrator
20,5,2,5,5,5,Arts,Database Administrator
18,1,4,1,1,1,Math,Database Administrator
24,1,5,1,1,1,Math,Database Administrator
24,1,1,1,1,1,Math,Database Administrator
19,1,0,1,1,1,Math,Database Administrator
19,1,3,1,1,1,Math,Database Administrator
21,1,2,1,1,1,Math,Database Administrator
22,0,4,0,0,0,Design,Database Administrator
20,0,5,0,0,0,Design,Database Administrator
24,0,1,0,0,0,Design,Database Administrator
25,0,0,0,0,0,Design,Database Administrator
24,0,3,0,0,0,Design,Database Administrator
18,0,2,0,0,0,Design,Database Administrator
21,3,4,3,3,3,Business,Database Administrator
22,3,5,3,3,3,Business,Database Administrator
25,3,1,3,3,3,Business,Database Administrator
21,3,0,3,3,3,Business,Database Administrator
23,3,3,3,3,3,Business,Database Administrator
22,3,2,3,3,3,Business,Database Administrator
24,2,4,2,2,2,ComputerScience,Database Administrator
24,2,5,2,2,2,ComputerScience,Database Administrator
22,2,1,2,2,2,ComputerScience,Database Administrator
24,2,0,2,2,2,ComputerScience,Database Administrator
20,2,3,2,2,2,ComputerScience,Database Administrator
22,2,2,2,2,2,ComputerScience,Database Administrator
21,4,4,4,4,4,Physics,Database Administrator
22,4,4,4,4,4,Physics,Database Administrator
25,4,4,4,4,4,Physics,Database Administrator
24,4,4,4,4,4,Physics,Database Administrator
20,4,4,4,4,4,Physics,Database Administrator
20,4,4,4,4,4,Physics,Database Administrator
23,5,5,5,5,5,Arts,Database Administrator
21,5,5,5,5,5,Arts,Database Administrator
19,5,5,5,5,5,Arts,Database Administrator
19,5,5,5,5,5,Arts,Database Administrator
22,5,5,5,5,5,Arts,Database Administrator
23,5,5,5,5,5,Arts,Database Administrator
18,1,1,1,1,1,Math,Database Administrator
22,1,1,1,1,1,Math,Database Administrator
23,1,1,1,1,1,Math,Database Administrator
21,1,1,1,1,1,Math,Database Administrator
21,1,1,1,1,1,Math,Database Administrator
21,1,1,1,1,1,Math,Database Administrator
21,0,0,0,0,0,Design,Database Administrator
21,0,0,0,0,0,Design,Database Administrator
23,0,0,0,0,0,Design,Database Administrator
23,0,0,0,0,0,Design,Database Administrator
20,0,0,0,0,0,Design,Database Administrator
25,0,0,0,0,0,Design,Database Administrator
19,3,3,3,3,3,Business,Database Administrator
24,3,3,3,3,3,Business,Database Administrator
21,3,3,3,3,3,Business,Database Administrator
18,3,3,3,3,3,Business,Database Administrator
24,3,3,3,3,3,Business,Database Administrator
23,3,3,3,3,3,Business,Database Administrator
18,2,2,2,2,2,ComputerScience,Database Administrator
18,2,2,2,2,2,ComputerScience,Database Administrator
18,2,2,2,2,2,ComputerScience,Database Administrator
20,2,2,2,2,2,ComputerScience,Database Administrator
23,2,2,2,2,2,ComputerScience,Database Administrator
18,2,2,2,2,2,ComputerScience,Database Administrator
21,4,4,4,4,4,Physics,Database Administrator
22,4,4,4,4,4,Physics,Database Administrator
18,4,4,4,4,4,Physics,Database Administrator
20,4,4,4,4,4,Physics,Database Administrator
24,4,4,4,4,4,Physics,Database Administrator
23,4,4,4,4,4,Physics,Database Administrator
25,5,5,5,5,5,Arts,Database Administrator
20,5,5,5,5,5,Arts,Database Administrator
18,5,5,5,5,5,Arts,Database Administrator
23,5,5,5,5,5,Arts,Database Administrator
22,5,5,5,5,5,Arts,Database Administrator
18,5,5,5,5,5,Arts,Database Administrator
20,1,1,1,1,1,Math,Database Administrator
19,1,1,1,1,1,Math,Database Administrator
21,1,1,1,1,1,Math,Database Administrator
25,1,1,1,1,1,Math,Database Administrator
24,1,1,1,1,1,Math,Database Administrator
20,1,1,1,1,1,Math,Database Administrator
23,0,0,0,0,0,Design,Database Administrator
25,0,0,0,0,0,Design,Database Administrator
25,0,0,0,0,0,Design,Database Administrator
25,0,0,0,0,0,Design,Database Administrator
18,0,0,0,0,0,Design,Database Administrator
21,0,0,0,0,0,Design,Database Administrator
18,3,3,3,3,3,Business,Database Administrator
23,3,3,3,3,3,Business,Database Administrator
18,3,3,3,3,3,Business,Database Administrator
19,3,3,3,3,3,Business,Database Administrator
21,3,3,3,3,3,Business,Database Administrator
21,3,3,3,3,3,Business,Database Administrator
23,2,2,2,2,2,ComputerScience,Database Administrator
24,2,2,2,2,2,ComputerScience,Database Administrator
19,2,2,2,2,2,ComputerScience,Database Administrator
20,2,2,2,2,2,ComputerScience,Database Administrator
18,2,2,2,2,2,ComputerScience,Database Administrator
22,2,2,2,2,2,ComputerScience,Database Administrator
18,4,4,4,4,4,Physics,Database Administrator
25,4,4,4,4,4,Physics,Database Administrator
18,4,4,4,4,4,Physics,Database Administrator
20,4,4,4,4,4,Physics,Database Administrator
18,4,4,4,4,4,Physics,Database Administrator
19,4,4,4,4,4,Physics,Database Administrator
19,5,5,5,5,5,Arts,Database Administrator
21,5,5,5,5,5,Arts,Database Administrator
23,5,5,5,5,5,Arts,Database Administrator
24,5,5,5,5,5,Arts,Database Administrator
22,5,5,5,5,5,Arts,Database Administrator
25,5,5,5,5,5,Arts,Database Administrator
18,1,1,1,1,1,Math,Database Administrator
18,1,1,1,1,1,Math,Database Administrator
20,1,1,1,1,1,Math,Database Administrator
23,1,1,1,1,1,Math,Database Administrator
19,1,1,1,1,1,Math,Database Administrator
22,1,1,1,1,1,Math,Database Administrator
21,0,0,0,0,0,Design,Database Administrator
19,0,0,0,0,0,Design,Database Administrator
25,0,0,0,0,0,Design,Database Administrator
23,0,0,0,0,0,Design,Database Administrator
25,0,0,0,0,0,Design,Database Administrator
24,0,0,0,0,0,Design,Database Administrator
21,3,3,3,3,3,Business,Database Administrator
24,3,3,3,3,3,Business,Database Administrator
20,3,3,3,3,3,Business,Database Administrator
25,3,3,3,3,3,Business,Database Administrator
20,3,3,3,3,3,Business,Database Administrator
18,3,3,3,3,3,Business,Database Administrator
24,2,2,2,2,2,ComputerScience,Database Administrator
23,2,2,2,2,2,ComputerScience,Database Administrator
25,2,2,2,2,2,ComputerScience,Database Administrator
22,2,2,2,2,2,ComputerScience,Database Administrator
21,2,2,2,2,2,ComputerScience,Database Administrator
19,2,2,2,2,2,ComputerScience,Database Administrator
23,4,4,4,4,4,Physics,Database Administrator
23,4,4,4,4,4,Physics,Database Administrator
20,4,4,4,4,4,Physics,Database Administrator
24,4,4,4,4,4,Physics,Database Administrator
25,4,4,4,4,4,Physics,Database Administrator
25,4,4,4,4,4,Physics,Database Administrator
18,5,5,5,5,5,Arts,Database Administrator
18,5,5,5,5,5,Arts,Database Administrator
21,5,5,5,5,5,Arts,Database Administrator
20,5,5,5,5,5,Arts,Database Administrator
23,5,5,5,5,5,Arts,Database Administrator
25,5,5,5,5,5,Arts,Database Administrator
22,1,1,1,1,1,Math,Database Administrator
20,1,1,1,1,1,Math,Database Administrator
21,1,1,1,1,1,Math,Database Administrator
21,1,1,1,1,1,Math,Database Administrator
20,1,1,1,1,1,Math,Database Administrator
21,1,1,1,1,1,Math,Database Administrator
20,0,0,0,0,0,Design,Database Administrator
19,0,0,0,0,0,Design,Database Administrator
20,0,0,0,0,0,Design,Database Administrator
24,0,0,0,0,0,Design,Database Administrator
20,0,0,0,0,0,Design,Database Administrator
21,0,0,0,0,0,Design,Database Administrator
25,3,3,3,3,3,Business,Database Administrator
24,3,3,3,3,3,Business,Database Administrator
21,3,3,3,3,3,Business,Database Administrator
18,3,3,3,3,3,Business,Database Administrator
18,3,3,3,3,3,Business,Database Administrator
25,3,3,3,3,3,Business,Database Administrator
25,2,2,2,2,2,ComputerScience,Database Administrator
24,2,2,2,2,2,ComputerScience,Database Administrator
19,2,2,2,2,2,ComputerScience,Database Administrator
25,2,2,2,2,2,ComputerScience,Database Administrator
18,2,2,2,2,2,ComputerScience,Database Administrator
20,2,2,2,2,2,ComputerScience,Database Administrator
21,4,4,4,4,4,Physics,Database Administrator
18,4,4,4,4,4,Physics,Database Administrator
18,4,4,4,4,4,Physics,Database Administrator
19,4,4,4,4,4,Physics,Database Administrator
24,4,4,4,4,4,Physics,Database Administrator
24,4,4,4,4,4,Physics,Database Administrator
23,5,5,5,5,5,Arts,Database Administrator
19,5,5,5,5,5,Arts,Database Administrator
20,5,5,5,5,5,Arts,Database Administrator
24,5,5,5,5,5,Arts,Database Administrator
21,5,5,5,5,5,Arts,Database Administrator
25,5,5,5,5,5,Arts,Database Administrator
19,1,1,1,1,1,Math,Database Administrator
25,1,1,1,1,1,Math,Database Administrator
18,1,1,1,1,1,Math,Database Administrator
21,1,1,1,1,1,Math,Database Administrator
21,1,1,1,1,1,Math,Database Administrator
18,1,1,1,1,1,Math,Database Administrator
19,0,0,0,0,0,Design,Database Administrator
18,0,0,0,0,0,Design,Database Administrator
25,0,0,0,0,0,Design,Database Administrator
23,0,0,0,0,0,Design,Database Administrator
21,0,0,0,0,0,Design,Database Administrator
22,0,0,0,0,0,Design,Database Administrator
22,3,3,3,3,3,Business,Database Administrator
25,3,3,3,3,3,Business,Database Administrator
20,3,3,3,3,3,Business,Database Administrator
24,3,3,3,3,3,Business,Database Administrator
18,3,3,3,3,3,Business,Database Administrator
18,3,3,3,3,3,Business,Database Administrator
20,2,2,2,2,2,ComputerScience,Database Administrator
20,2,2,2,2,2,ComputerScience,Database Administrator
25,2,2,2,2,2,ComputerScience,Database Administrator
25,2,2,2,2,2,ComputerScience,Database Administrator
20,2,2,2,2,2,ComputerScience,Database Administrator
21,2,2,2,2,2,ComputerScience,Database Administrator
25,4,4,4,4,4,Physics,Database Administrator
23,4,4,4,4,4,Physics,Database Administrator
25,4,4,4,4,4,Physics,Database Administrator
18,4,4,4,4,4,Physics,Database Administrator
25,4,4,4,4,4,Physics,Database Administrator
21,4,4,4,4,4,Physics,Database Administrator
20,5,5,5,5,5,Arts,Database Administrator
18,5,5,5,5,5,Arts,Database Administrator
25,5,5,5,5,5,Arts,Database Administrator
21,5,5,5,5,5,Arts,Database Administrator
23,5,5,5,5,5,Arts,Database Administrator
25,5,5,5,5,5,Arts,Database Administrator
21,1,1,1,1,1,Math,Database Administrator
23,1,1,1,1,1,Math,Database Administrator
20,1,1,1,1,1,Math,Database Administrator
25,1,1,1,1,1,Math,Database Administrator
23,1,1,1,1,1,Math,Database Administrator
18,1,1,1,1,1,Math,Database Administrator
20,0,0,0,0,0,Design,Database Administrator
18,0,0,0,0,0,Design,Database Administrator
22,0,0,0,0,0,Design,Database Administrator
19,0,0,0,0,0,Design,Database Administrator
25,0,0,0,0,0,Design,Database Administrator
23,0,0,0,0,0,Design,Database Administrator
19,3,3,3,3,3,Business,Database Administrator
19,3,3,3,3,3,Business,Database Administrator
23,3,3,3,3,3,Business,Database Administrator
20,3,3,3,3,3,Business,Database Administrator
25,3,3,3,3,3,Business,Database Administrator
22,3,3,3,3,3,Business,Database Administrator
18,2,2,2,2,2,ComputerScience,Database Administrator
21,2,2,2,2,2,ComputerScience,Database Administrator
18,2,2,2,2,2,ComputerScience,Database Administrator
21,2,2,2,2,2,ComputerScience,Database Administrator
18,2,2,2,2,2,ComputerScience,Database Administrator
23,2,2,2,2,2,ComputerScience,Database Administrator
22,4,4,4,4,4,Physics,Database Administrator
25,4,4,4,5,4,Physics,Database Administrator
21,4,4,4,1,4,Physics,Database Administrator
25,4,4,4,0,4,Physics,Database Administrator
25,4,4,4,3,4,Physics,Database Administrator
25,4,4,4,2,4,Physics,Database Administrator
24,5,5,5,4,5,Arts,Database Administrator
20,5,5,5,5,5,Arts,Database Administrator
18,5,5,5,1,5,Arts,Database Administrator
25,5,5,5,0,5,Arts,Database Administrator
18,5,5,5,3,5,Arts,Database Administrator
25,5,5,5,2,5,Arts,Database Administrator
21,1,1,1,4,1,Math,Database Administrator
20,1,1,1,5,1,Math,Database Administrator
20,1,1,1,1,1,Math,Database Administrator
23,1,1,1,0,1,Math,Database Administrator
24,1,1,1,3,1,Math,Database Administrator
23,1,1,1,2,1,Math,Database Administrator
23,0,0,0,4,0,Design,Database Administrator
23,0,0,0,5,0,Design,Database Administrator
23,0,0,0,1,0,Design,Database Administrator
23,0,0,0,0,0,Design,Database Administrator
22,0,0,0,3,0,Design,Database Administrator
20,0,0,0,2,0,Design,Database Administrator
23,3,3,3,4,3,Business,Database Administrator
25,3,3,3,5,3,Business,Database Administrator
20,3,3,3,1,3,Business,Database Administrator
20,3,3,3,0,3,Business,Database Administrator
19,3,3,3,3,3,Business,Database Administrator
22,3,3,3,2,3,Business,Database Administrator
23,2,2,2,4,2,ComputerScience,Database Administrator
18,2,2,2,5,2,ComputerScience,Database Administrator
21,2,2,2,1,2,ComputerScience,Database Administrator
24,2,2,2,0,2,ComputerScience,Database Administrator
25,2,2,2,3,2,ComputerScience,Database Administrator
18,2,2,2,2,2,ComputerScience,Database Administrator
22,4,4,4,4,4,Physics,Database Administrator
21,5,4,4,4,4,Physics,Database Administrator
22,1,4,4,4,4,Physics,Database Administrator
25,0,4,4,4,4,Physics,Database Administrator
20,3,4,4,4,4,Physics,Database Administrator
21,2,4,4,4,4,Physics,Database Administrator
20,4,5,5,5,5,Arts,Database Administrator
25,5,5,5,5,5,Arts,Database Administrator
18,1,5,5,5,5,Arts,Database Administrator
25,0,5,5,5,5,Arts,Database Administrator
18,3,5,5,5,5,Arts,Database Administrator
21,2,5,5,5,5,Arts,Database Administrator
21,4,1,1,1,1,Math,Database Administrator
23,5,1,1,1,1,Math,Database Administrator
22,1,1,1,1,1,Math,Database Administrator
23,0,1,1,1,1,Math,Database Administrator
22,3,1,1,1,1,Math,Database Administrator
23,2,1,1,1,1,Math,Database Administrator
20,4,0,0,0,0,Design,Database Administrator
21,5,0,0,0,0,Design,Database Administrator
18,1,0,0,0,0,Design,Database Administrator
22,0,0,0,0,0,Design,Database Administrator
25,3,0,0,0,0,Design,Database Administrator
22,2,0,0,0,0,Design,Database Administrator
18,4,3,3,3,3,Business,Database Administrator
23,5,3,3,3,3,Business,Database Administrator
22,1,3,3,3,3,Business,Database Administrator
24,0,3,3,3,3,Business,Database Administrator
20,3,3,3,3,3,Business,Database Administrator
21,2,3,3,3,3,Business,Database Administrator
18,4,2,2,2,2,ComputerScience,Database Administrator
21,5,2,2,2,2,ComputerScience,Database Administrator
24,1,2,2,2,2,ComputerScience,Database Administrator
22,0,2,2,2,2,ComputerScience,Database Administrator
22,3,2,2,2,2,ComputerScience,Database Administrator
25,2,2,2,2,2,ComputerScience,Database Administrator
24,4,4,4,4,4,Physics,Database Administrator
18,4,4,5,4,5,Physics,Database Administrator
25,4,4,1,4,1,Physics,Database Administrator
20,4,4,0,4,0,Physics,Database Administrator
25,4,4,3,4,3,Physics,Database Administrator
19,4,4,2,4,2,Physics,Database Administrator
18,5,5,4,5,4,Arts,Database Administrator
19,5,5,5,5,5,Arts,Database Administrator
24,5,5,1,5,1,Arts,Database Administrator
23,5,5,0,5,0,Arts,Database Administrator
19,5,5,3,5,3,Arts,Database Administrator
20,5,5,2,5,2,Arts,Database Administrator
25,1,1,4,1,4,Math,Database Administrator
23,1,1,5,1,5,Math,Database Administrator
25,1,1,1,1,1,Math,Database Administrator
19,1,1,0,1,0,Math,Database Administrator
25,1,1,3,1,3,Math,Database Administrator
24,1,1,2,1,2,Math,Database Administrator
23,0,0,4,0,4,Design,Database Administrator
24,0,0,5,0,5,Design,Database Administrator
19,0,0,1,0,1,Design,Database Administrator
24,0,0,0,0,0,Design,Database Administrator
20,0,0,3,0,3,Design,Database Administrator
19,0,0,2,0,2,Design,Database Administrator
19,3,3,4,3,4,Business,Database Administrator
19,3,3,5,3,5,Business,Database Administrator
18,3,3,1,3,1,Business,Database Administrator
25,3,3,0,3,0,Business,Database Administrator
18,3,3,3,3,3,Business,Database Administrator
18,3,3,2,3,2,Business,Database Administrator
20,2,2,4,2,4,ComputerScience,Database Administrator
23,2,2,5,2,5,ComputerScience,Database Administrator
25,2,2,1,2,1,ComputerScience,Database Administrator
24,2,2,0,2,0,ComputerScience,Database Administrator
22,2,2,3,2,3,ComputerScience,Database Administrator
19,2,2,2,2,2,ComputerScience,Database Administrator
24,4,4,4,4,4,Physics,Hardware Engineer
19,4,4,4,4,4,Physics,Hardware Engineer
20,4,4,4,4,4,Physics,Hardware Engineer
19,4,4,4,4,4,Physics,Hardware Engineer
18,4,4,4,4,4,Physics,Hardware Engineer
25,4,4,4,4,4,Physics,Hardware Engineer
22,5,5,5,5,5,Arts,Hardware Engineer
21,5,5,5,5,5,Arts,Hardware Engineer
19,5,5,5,5,5,Arts,Hardware Engineer
24,5,5,5,5,5,Arts,Hardware Engineer
18,5,5,5,5,5,Arts,Hardware Engineer
21,5,5,5,5,5,Arts,Hardware Engineer
22,1,1,1,1,1,Math,Hardware Engineer
21,1,1,1,1,1,Math,Hardware Engineer
18,1,1,1,1,1,Math,Hardware Engineer
25,1,1,1,1,1,Math,Hardware Engineer
25,1,1,1,1,1,Math,Hardware Engineer
23,1,1,1,1,1,Math,Hardware Engineer
25,0,0,0,0,0,Design,Hardware Engineer
23,0,0,0,0,0,Design,Hardware Engineer
21,0,0,0,0,0,Design,Hardware Engineer
20,0,0,0,0,0,Design,Hardware Engineer
24,0,0,0,0,0,Design,Hardware Engineer
24,0,0,0,0,0,Design,Hardware Engineer
21,3,3,3,3,3,Business,Hardware Engineer
19,3,3,3,3,3,Business,Hardware Engineer
19,3,3,3,3,3,Business,Hardware Engineer
25,3,3,3,3,3,Business,Hardware Engineer
24,3,3,3,3,3,Business,Hardware Engineer
24,3,3,3,3,3,Business,Hardware Engineer
23,2,2,2,2,2,ComputerScience,Hardware Engineer
20,2,2,2,2,2,ComputerScience,Hardware Engineer
18,2,2,2,2,2,ComputerScience,Hardware Engineer
19,2,2,2,2,2,ComputerScience,Hardware Engineer
24,2,2,2,2,2,ComputerScience,Hardware Engineer
23,2,2,2,2,2,ComputerScience,Hardware Engineer
22,4,4,4,4,4,Physics,Hardware Engineer
23,4,4,4,4,4,Physics,Hardware Engineer
19,4,4,4,4,4,Physics,Hardware Engineer
19,4,4,4,4,4,Physics,Hardware Engineer
23,4,4,4,4,4,Physics,Hardware Engineer
18,4,4,4,4,4,Physics,Hardware Engineer
21,5,5,5,5,5,Arts,Hardware Engineer
19,5,5,5,5,5,Arts,Hardware Engineer
23,5,5,5,5,5,Arts,Hardware Engineer
24,5,5,5,5,5,Arts,Hardware Engineer
23,5,5,5,5,5,Arts,Hardware Engineer
20,5,5,5,5,5,Arts,Hardware Engineer
21,1,1,1,1,1,Math,Hardware Engineer
22,1,1,1,1,1,Math,Hardware Engineer
18,1,1,1,1,1,Math,Hardware Engineer
25,1,1,1,1,1,Math,Hardware Engineer
22,1,1,1,1,1,Math,Hardware Engineer
21,1,1,1,1,1,Math,Hardware Engineer
21,0,0,0,0,0,Design,Hardware Engineer
21,0,0,0,0,0,Design,Hardware Engineer
22,0,0,0,0,0,Design,Hardware Engineer
24,0,0,0,0,0,Design,Hardware Engineer
21,0,0,0,0,0,Design,Hardware Engineer
23,0,0,0,0,0,Design,Hardware Engineer
22,3,3,3,3,3,Business,Hardware Engineer
